Ac_DCM,,
Wavelength (nm),Abs,
799.9367065,0.0001376057189,
798.9643555,-0.00168490666,
797.9916382,-0.0005612074165,
797.0184937,0.0004199698451,
796.0450439,-0.002059824066,
794.9320068,-0.001511746668,
793.9577637,-0.001480377628,
792.9830933,-0.001378515619,
792.0080566,-0.002112120856,
791.0326538,-0.002176929032,
790.0568848,-0.002418303862,
788.9412842,-0.001401841757,
787.9647217,-0.0007245647721,
786.9877319,-0.001840315294,
786.010437,-0.001151691424,
785.0327148,-0.002842482878,
784.0546875,-0.0006289358134,
782.9364624,-0.0004914517049,
781.9575806,-0.001008122927,
780.9783936,-0.001764628803,
779.9987793,-0.002142826095,
779.0187988,-0.001653343788,
778.0385132,-0.001050630352,
777.0578003,-0.001202032552,
775.9365845,-0.002416604897,
774.9550781,-0.0006170453271,
773.9732666,-0.002079712925,
772.9910278,-0.00221113232,
772.0084839,-0.0009116264409,
771.0255127,-0.0007907173131,
770.0422363,-0.002623317996,
769.0585327,-0.001597587368,
767.9338989,-0.001597174676,
766.9494629,-0.002906925278,
765.9646606,-0.001896246686,
764.9794922,-0.00266463845,
763.9939575,-0.001488426467,
763.0081177,-0.001608264749,
762.0218506,-0.001793966629,
761.0352173,-0.001501634601,
760.0482788,-0.0007923193625,
759.0609131,-0.0008619234432,
757.9321289,-0.0009945898782,
756.9440308,-0.001688052551,
755.9555664,-0.002787650563,
754.9667969,-0.00254370179,
753.9776001,-0.001442040317,
752.9880981,-0.002464843215,
751.99823,-0.00179076998,
751.0079956,-0.00184624386,
750.017395,-0.001804742264,
749.0264893,-0.001623738557,
748.0351563,-0.002711563138,
747.0435181,-0.001796183642,
746.0515137,-0.001858616248,
745.0592041,-0.001946965349,
744.0664673,-0.001784479711,
742.9315186,-0.001714043552,
741.9380493,-0.001088795718,
740.9442749,-0.002629801864,
739.9501343,-0.002316764556,
738.9556274,-0.001303677796,
737.9607544,-0.001495391713,
736.9655762,-0.001906040357,
735.9700317,-0.00144854188,
734.9741211,-0.002182595432,
733.9778442,-0.001171570388,
732.9812622,-0.001444052672,
731.984375,-0.002529959194,
730.9870605,-0.00279649836,
729.9894409,-0.001870421227,
728.9914551,-0.002831321442,
727.9931641,-0.001595369307,
726.9945068,-0.002243066905,
725.9954834,-0.001964901108,
724.9961548,-0.001677841297,
723.99646,-0.001317820512,
722.99646,-0.00235754787,
721.9960938,-0.002392509254,
720.9953613,-0.001756533515,
719.9943237,-0.001481512794,
718.9929199,-0.002401571022,
717.9912109,-0.001811393071,
716.9891357,-0.001553224749,
715.9866943,-0.001720489468,
714.9839478,-0.001629824867,
713.980896,-0.002223339863,
712.977478,-0.00218759221,
711.9736938,-0.002107947599,
710.9696045,-0.002228078665,
709.96521,-0.002923844149,
708.9604492,-0.002229469363,
707.9553223,-0.002089451067,
706.9498901,-0.00212335214,
705.9441528,-0.002559193876,
704.9380493,-0.001686711679,
703.9316406,-0.002384940628,
703.0686646,-0.001899339492,
702.0616455,-0.002256715437,
701.0542603,-0.002250483492,
700.0465698,-0.002084865468,
699.0385132,-0.002100064885,
698.0301514,-0.002378710546,
697.0214233,-0.002529907739,
696.0123901,-0.002476889174,
695.0030518,-0.002665358828,
693.9934082,-0.002164668869,
692.9833374,-0.002383447485,
691.9730225,-0.001918565715,
690.9623413,-0.002505972981,
689.951355,-0.002359916456,
688.9400635,-0.002256715437,
687.9284058,-0.002721544355,
687.0610352,-0.002617502818,
686.0487671,-0.002445280785,
685.0361938,-0.002398121404,
684.0233154,-0.001340840245,
683.0100708,-0.002413670067,
681.996582,-0.003039174248,
680.9827271,-0.001748231822,
679.9685059,-0.002416398842,
678.9540405,-0.002529804828,
677.939209,-0.003348198021,
677.0690918,-0.002767228289,
676.0536499,-0.003345988924,
675.0379639,-0.002265368123,
674.0219116,-0.001761844498,
673.0054932,-0.002657177392,
671.9888306,-0.002067759167,
670.9718018,-0.00299634668,
669.9544678,-0.003104820848,
668.9368286,-0.00316506112,
668.0643311,-0.003481956199,
667.0460815,-0.002011283068,
666.0275879,-0.002133089351,
665.008728,-0.00191047322,
663.989563,-0.002020249609,
662.9700317,-0.001853203285,
661.9502563,-0.002442037454,
660.9301758,-0.002837853739,
660.055542,-0.002111399546,
659.0348511,-0.002330410993,
658.013855,-0.001756224199,
656.9925537,-0.001980310772,
655.9708862,-0.001780870603,
654.9489746,-0.002723756479,
654.0728149,-0.003092689672,
653.050293,-0.002265110612,
652.0274658,-0.001817940618,
651.0043945,-0.002364190295,
649.980957,-0.001854182803,
648.9572144,-0.002379225334,
647.9331665,-0.002289882628,
647.0551758,-0.001975002466,
646.0305786,-0.001978713088,
645.0056763,-0.002898645354,
643.9804688,-0.00216533849,
642.9549561,-0.001671343111,
641.9290771,-0.002159723314,
641.0495605,-0.002430093475,
640.0231934,-0.002521826653,
638.996521,-0.002341121668,
637.9695435,-0.002553892555,
636.9422607,-0.00236722827,
636.0614624,-0.002238431247,
635.0336304,-0.001905112527,
634.0054932,-0.002358423313,
632.9769897,-0.002152665751,
631.9482422,-0.001651693368,
631.0662231,-0.001854956034,
630.0369263,-0.00127322285,
629.0073853,-0.001327937003,
627.977478,-0.001457365346,
626.9472656,-0.001613525907,
626.0640259,-0.001318646362,
625.0332642,-0.0009433982777,
624.0022583,-0.0003464231559,
622.9709473,-0.001041333773,
621.93927,-0.0006052579265,
621.0548096,-0.0006332266494,
620.022644,-0.0009604456136,
618.9901733,-0.0003669597208,
617.9574585,-0.0001377432782,
617.0719604,6.122462946E-5,
616.0386963,2.824250987E-5,
615.005127,0.0005288615939,
613.9712524,0.001387553639,
612.9370728,0.002357948571,
612.050415,0.00268851174,
611.015686,0.003508167341,
609.9807129,0.003937788308,
608.9454346,0.004355309997,
608.0578613,0.005251266994,
607.0220337,0.005644798744,
605.9859009,0.00689722877,
604.9495239,0.007358545437,
604.0609741,0.008118756115,
603.0240479,0.009326774627,
601.9868774,0.01062049437,
600.9494019,0.01258987281,
600.0598755,0.0140767796,
599.0219116,0.0152288219,
597.9835815,0.01673279703,
596.9450073,0.01855613478,
596.0546265,0.02102828398,
595.0155029,0.02364303917,
593.9761353,0.02603265643,
592.9364624,0.02898657881,
592.045105,0.0319040902,
591.0049438,0.03536028415,
589.9644775,0.03847117722,
589.0724487,0.0419731997,
588.0314941,0.04505210742,
586.9902344,0.04867516831,
585.9486694,0.05348682776,
585.0557251,0.05775820836,
584.0136719,0.06202889234,
582.9713745,0.06720978767,
581.928772,0.07170236856,
581.0349121,0.07618257403,
579.9918213,0.08213254064,
578.9484253,0.08594819158,
578.053894,0.09131640941,
577.0100098,0.09614978731,
575.9658813,0.101385273,
575.0706787,0.1056480929,
574.026001,0.1105184481,
572.9810791,0.1160882413,
571.9359131,0.1212351397,
571.0397949,0.1242619157,
569.9940796,0.1301475316,
568.9481201,0.1336515844,
568.0513916,0.1368675977,
567.0048828,0.1410608888,
565.9581909,0.1443634182,
565.06073,0.1472370923,
564.0135498,0.1511383802,
562.9660034,0.1541003138,
562.0679321,0.1556910574,
561.0199585,0.1568180472,
559.9717407,0.1599419564,
559.072998,0.1599156559,
558.024231,0.1609643102,
556.9752197,0.163055867,
555.9259644,0.1645424217,
555.0263672,0.1640160084,
553.9766235,0.1642367989,
552.9266357,0.1638650596,
552.0263672,0.1647085994,
550.9758911,0.1644393355,
549.9251099,0.1647139341,
549.024292,0.1649991423,
547.9730225,0.1646544635,
547.0717773,0.1645090729,
546.0200195,0.1648834199,
544.9680176,0.1659659892,
544.0661621,0.1660299897,
543.0136719,0.1663086712,
541.9609375,0.1664657295,
541.0584106,0.1666108221,
540.005249,0.1680820286,
538.9517822,0.1693011224,
538.048645,0.1698864549,
536.9946899,0.1708144695,
535.9405518,0.1719984859,
535.0367432,0.1735468358,
533.9821167,0.1748441458,
532.9272461,0.1755409986,
532.0228271,0.1772576869,
530.9674683,0.1781970263,
530.0626831,0.1796617955,
529.006897,0.1800850183,
527.9508057,0.181229189,
527.0454102,0.1817258894,
525.9888306,0.1825847328,
524.9320679,0.1827739179,
524.026062,0.1831713617,
522.968811,0.1829148233,
522.062439,0.1823297143,
521.0046997,0.1822526306,
519.9467773,0.1813706607,
519.0397339,0.1804894209,
517.9813843,0.1791716516,
517.0739746,0.1778319776,
516.0150757,0.1760033816,
514.9559937,0.1746636778,
514.0480347,0.1728097349,
512.9884644,0.1709059626,
511.9286804,0.1687791497,
511.0200806,0.1671158671,
509.9598389,0.164374277,
509.0508728,0.1624860913,
507.9901733,0.1603333056,
506.9292603,0.1584384441,
506.0196838,0.1559945047,
504.958313,0.153345868,
504.0484009,0.1519827247,
502.9865723,0.1504618526,
501.92453,0.1481390148,
501.0140076,0.1466642469,
499.9515076,0.1440247297,
499.0406189,0.1432583332,
497.9776917,0.1419403404,
497.0664368,0.1402366757,
496.0030518,0.1383300275,
494.9394531,0.1370126456,
494.0276184,0.1356623769,
492.9635925,0.1344193667,
492.0513916,0.1324394941,
490.986908,0.1311781257,
490.0743408,0.1294478923,
489.0094604,0.1277473122,
487.9443359,0.1263453066,
487.031189,0.124659501,
485.9656372,0.1233377978,
485.052124,0.1211908609,
483.986145,0.1188028604,
483.0722656,0.1171338782,
482.0058594,0.1151423976,
480.9392395,0.1137132645,
480.0248108,0.1113219261,
478.9577637,0.1089507341,
478.0429688,0.1072939709,
476.9754944,0.1050185859,
476.0603333,0.1036188155,
474.9924622,0.1014874205,
473.9243469,0.09883074462,
473.0086365,0.09736010432,
471.9401245,0.09535481781,
471.0240784,0.09349243343,
469.9551392,0.09143148363,
469.0387268,0.09065006673,
467.9693604,0.08866529167,
467.0526123,0.08742387593,
465.9828491,0.08537261188,
465.0657349,0.0843860805,
463.995575,0.0828666836,
462.9252014,0.08180802315,
462.0075378,0.0807293728,
460.9367371,0.07949560881,
460.0187683,0.07858683169,
458.9475708,0.07743746042,
458.0292358,0.07677451521,
456.9576111,0.07650010288,
456.0389404,0.0749026686,
454.9669495,0.07438057661,
454.0479126,0.07374826819,
452.9755249,0.07363136858,
452.0561523,0.07295500487,
450.9833679,0.07347542048,
450.0636597,0.07321472466,
448.9904785,0.07351647317,
448.0704346,0.07319636643,
446.9968567,0.07396019995,
446.0764771,0.07463057339,
445.0025024,0.07544407994,
443.9283447,0.07603245974,
443.0074463,0.07713828981,
441.9328613,0.07868447155,
441.0116577,0.08091870695,
439.936676,0.08220376074,
439.0151367,0.08473781496,
437.9397888,0.08661907166,
437.0179138,0.08903306723,
435.9421692,0.09226308763,
435.0199585,0.09511642158,
433.9438782,0.09896346927,
433.0213318,0.1022796854,
431.9448242,0.1056189761,
431.0219727,0.1096270531,
429.9450989,0.1133428067,
429.0219116,0.1173731461,
427.9446716,0.1220768839,
427.0211792,0.1255855411,
425.943573,0.1307288557,
425.0197144,0.1342488825,
423.9417419,0.1383787543,
423.0176086,0.1423526853,
421.9392395,0.1466431916,
421.0147705,0.1494870931,
419.9360352,0.1526005566,
419.011261,0.1558156312,
417.9321594,0.1585500836,
417.0070801,0.1608823389,
415.9276123,0.1636192203,
415.0021973,0.1653157175,
414.0766602,0.1668157876,
412.9966431,0.1684117764,
412.0708008,0.1697822809,
410.990448,0.1702991724,
410.06427,0.1706396192,
408.983551,0.170079574,
408.0570679,0.17019099,
406.9760132,0.1693242788,
406.0492249,0.1686707586,
404.9677734,0.1677554995,
404.0406799,0.1659612209,
402.9589233,0.1635143757,
402.0315247,0.1610129178,
400.9493713,0.1585913002,
400.021698,0.155772835,
398.939209,0.1531344205,
398.0112,0.1496738344,
396.9283752,0.1461329907,
396.0000916,0.1429432929,
395.0716553,0.1396472305,
393.9883118,0.136383906,
393.0595703,0.1327771842,
391.9758911,0.1277459264,
391.046875,0.1249974519,
389.9628296,0.120710291,
389.0335388,0.1170755103,
387.9491577,0.1128635556,
387.0195313,0.1084929556,
385.934845,0.1050301939,
385.0049438,0.1021028459,
384.0749207,0.09891412407,
382.9897156,0.095970653,
382.0593872,0.0929389596,
380.9738464,0.09005615115,
380.0432434,0.08822087198,
378.9573669,0.08632965386,
378.0264893,0.08449914306,
376.9402771,0.08216656744,
376.0090942,0.08114031702,
374.9225769,0.08052096516,
373.9911194,0.07923897356,
373.0595398,0.07972896844,
371.9725037,0.07855020463,
371.0406494,0.0776457265,
369.9533081,0.0788564235,
369.0211792,0.07772104442,
367.9335022,0.07921642065,
367.0010986,0.08104868233,
366.0685425,0.08181934059,
364.9804077,0.08288049698,
364.0475769,0.08385350555,
362.959137,0.08580929786,
362.0260315,0.08610177785,
360.9372559,0.0861120075,
360.0039063,0.08588632196,
359.0704041,0.0843975842,
357.9811707,0.08299975097,
357.0474243,0.08168406785,
355.9578857,0.07906680554,
355.0238647,0.07810476422,
353.9339905,0.07636357844,
352.9996948,0.0762771666,
352.0652771,0.07386785746,
350.9749756,0.07386408746,
350.0403137,0.07417166233,
348.9496765,0.07388532162,
348.01474,0.07628910989,
346.9238281,0.07628000528,
345.9886169,0.0762597993,
345.0532837,0.07713621855,
343.9619446,0.07733026892,
343.0263672,0.07762960345,
341.9346924,0.07731081545,
340.9988403,0.07868313044,
340.0628967,0.07773348689,
338.9707947,0.07853130996,
338.0345764,0.0784528777,
336.9421997,0.07949193567,
336.0057068,0.07924773544,
335.0691223,0.07998753339,
333.9763184,0.08066319674,
333.0394897,0.08286887407,
331.9463501,0.08313442767,
331.0092773,0.08608467132,
330.0720825,0.08714622259,
328.9785461,0.0895852074,
328.0410767,0.09055969119,
326.9472656,0.09407673031,
326.0095825,0.09537974,
325.0717773,0.09818007797,
323.9775085,0.09953656048,
323.0394592,0.1019141078,
321.9449463,0.1046142653,
321.0066528,0.1071204841,
320.0682373,0.1096102297,
318.9732971,0.1133579314,
318.034668,0.1150640473,
316.9394531,0.1203327328,
316.0005493,0.1243485957,
315.0615845,0.1285051703,
313.9659424,0.1349323094,
313.0267334,0.1406987607,
311.9308167,0.1509826332,
310.9913635,0.1585840583,
310.0517883,0.1685945392,
308.9555054,0.1808812171,
308.015686,0.1930969208,
307.0758057,0.2164283544,
305.9790955,0.239458859,
305.0389709,0.2663977742,
303.9420166,0.3047703505,
303.0016479,0.3460502326,
302.0611572,0.4129290283,
300.9638062,0.4870303273,
300.0231323,0.5762073398,
298.9255066,0.69196558,
297.9845886,0.7984493375,
297.0435486,0.9711588621,
295.9455566,1.148820758,
295.0043335,1.304279089,
294.0629883,1.432951927,
292.9645996,1.592510223,
292.0230408,1.732356548,
290.924408,1.78179276,
289.982605,1.797724128,
289.040741,1.765196085,
287.9417419,1.709591627,
286.9996338,1.6342628,
286.0574341,1.574534416,
284.9580688,1.495185852,
284.015625,1.439164281,
283.0731201,1.379838228,
281.9733887,1.300830245,
281.0306702,1.249764323,
279.9306946,1.180256963,
278.9877319,1.126059175,
278.0447083,1.074017763,
276.9443665,1.003322601,
276.0011292,0.9620916843,
275.0577698,0.9179610014,
273.9570923,0.8725373745,
273.0135498,0.8404006362,
272.0699158,0.8024836183,
270.9688721,0.7816832066,
270.0250244,0.761559546,
268.9237671,0.7437602282,
267.9797058,0.7306483388,
267.035553,0.7123910189,
265.93396,0.7021204233,
264.989624,0.6916695833,
264.045166,0.6861716509,
262.9432373,0.68220824,
261.9985962,0.682572484,
261.0538635,0.6845395565,
259.9515686,0.6875977516,
259.0066528,0.6916086078,
258.0616455,0.6981204152,
256.9590454,0.7113921642,
256.0138245,0.7186680436,
255.0685425,0.7250387669,
253.9656067,0.7342761755,
253.0201263,0.7377292514,
252.0745544,0.7374335527,
250.971283,0.7321124673,
250.025528,0.7269378304,
248.9284668,0.7153121829,
247.9881592,0.701318562,
247.0477753,0.6857119799,
245.9505463,0.6660447121,
245.0099792,0.6488593221,
244.0693207,0.631537199,
242.9717865,0.6126102209,
242.0309448,0.5946481228,
240.933197,0.5828880072,
239.9921875,0.5723651648,
239.0510864,0.570389092,
237.9530334,0.5634046197,
237.0117493,0.5644749403,
236.0703888,0.5671057701,
234.9720306,0.5893481374,
234.0305023,0.5963287354,
232.9319458,0.5940775275,
231.9902344,0.6261658669,
231.0484467,0.6352036595,
229.949585,0.6802414656,
229.0076294,0.6626571417,
228.0655823,0.5981788635,
226.9664459,0.6010801792,
226.024231,0.6115584373,
224.9248962,0.5177953243,
223.9825134,0.4433973432,
223.0400543,0.5069727302,
221.9404297,0.5080832243,
220.997818,0.5062749386,
220.0551147,0.3782554269,
218.9552155,0.342764914,
218.0123444,0.5989054441,
217.0694122,0.3087619543,
215.9692383,0.3475984037,
215.0261383,0.5762459636,
213.925766,0.1245874837,
212.9825134,0.4838933647,
212.0391846,0.2053014487,
210.9385376,0.5077829361,
209.9950562,0.2961321771,
209.0514832,0.2499807924,
207.9505768,0.2925727963,
207.0068665,0.1541668326,
206.0630798,0.2983867228,
204.9619141,0.4944539666,
204.0179749,0.3546164036,
203.0739594,0.2674997747,
201.9725342,0.2810384929,
201.0283661,0.2874156535,
199.9258728,0.3083944023,

